Øvelsesnummer,URL på hjemmeside,URL på youtube
22.A3,,https://youtu.be/YtTIp9Usl_E
22.B1,,https://youtu.be/ilT8FSjMB0g
22.B2,,https://youtu.be/aQrb69lLCT4
22.B4,,https://youtu.be/ogDbgeaViDw
22.B5,,https://youtu.be/fLP6qi8zM_I
22. Teknik 7,,https://youtu.be/Q88LmqJdP4w
22. Teknik 8,,https://youtu.be/RjjGJSjcbE0
22. Teknik 9,,https://youtu.be/i3PKAxrjGPE
22. Teknik 10,,https://youtu.be/3B6WQdJZrUk
22. Teknik 11,,https://youtu.be/opCOPfn5DSc
22. Teknik 12,,https://youtu.be/VCS_yLhLsQ0
22.C1,,https://youtu.be/fagsUhgAwzE
22.C2,,https://youtu.be/HsxnTdSG5IA
22.C3,,https://youtu.be/PeOLLPJx2v4
22.C4,,https://youtu.be/0KCd6yn4Bzw
22.C5,,https://youtu.be/MW572JQeaA0
22. Teknik 13,,https://youtu.be/d20RwIgqf8M
22. Teknik 14,,https://youtu.be/Ay36Js0YQwU
22. Teknik 15,,https://youtu.be/DglQMS1nses
22. Teknik 16,,https://youtu.be/NfouGRVRMJM
22. Teknik 17,,https://youtu.be/0uIKWi_AthQ
22. Teknik 18,,https://youtu.be/9xy-8O_2SkY
22.D1,,https://youtu.be/rTUbC1kxZHc
22.D2,,https://youtu.be/grYGJxFAyv4
22.D3,,https://youtu.be/lmJF0S9Cct8
22.D4,,https://youtu.be/MvzNgriWln0
22.D5,,https://youtu.be/K85sgEfylH8
22.D6,,https://youtu.be/7e6hLBSgK1A
22.E5,,https://youtu.be/bE62XRMDNrE
22.E6,,https://youtu.be/t5IvLWG8D38
22.E7,,https://youtu.be/k_9A0xzNBio
22.E8,,https://youtu.be/eIgg6wxjzZI
22.E9,,https://youtu.be/RNMe4OKTuOE
22.E10,,https://youtu.be/59HmqWBuVew
22.E11,,https://youtu.be/lM9XHUiy4ZY
,,
Figur 23.3,,https://youtu.be/KtT4rCUA9ys
Figur 23.5,,https://youtu.be/E8i8BJ_UiCc
Figur 23.6,,https://youtu.be/NhLGUb9O41Y
23.A1,,https://youtu.be/dzmZ9rzjSt8
23.A2,,https://youtu.be/FU4wLD5nc3o
23.A3,,https://youtu.be/y18u2UImeZU
23.A5,,https://youtu.be/imxwJ7jozJ0
23.A6,,https://youtu.be/O8vxCmrs7E8
23.C1,,https://youtu.be/UVTJg8tVpbc
23.C2,,https://youtu.be/dVNZZEHEZ2A
23.C3,,https://youtu.be/5Ag1T9MAwCg
23.C4,,https://youtu.be/SSoK2bPqsrY
23.C5,,https://youtu.be/2smZ0fVPsJk
23.C6,,https://youtu.be/CI2S1MXxuTw
23.D1,,https://youtu.be/zaD-uIg6lCo
23.D2,,https://youtu.be/pXEQypWJmo8
23.D3,,https://youtu.be/aNYdsLHEOz8
23.E1,,https://youtu.be/pEMXdVBUgtE
23.E2,,https://youtu.be/QYCKlwyG8Oo
23.E3,,https://youtu.be/Tnjbqv4Suos
23.E4,,https://youtu.be/bO1y0KN2ZUk
23.F1,,https://youtu.be/OXlKffevoSI
23.F2,,https://youtu.be/7mSgAyC1M1A
23.F3,,https://youtu.be/8yPu0e76OwE
23.F4,,https://youtu.be/VRnAK_dkZ3E
23.F5,,https://youtu.be/HuyMK68WSMc
23.F6,,https://youtu.be/XlODfnE82K4
23.G1,,https://youtu.be/PRn6QAvyxpk
23.G2,,https://youtu.be/s2_vt6_orUM
23.G3,,https://youtu.be/a_902FF6A68
,,
24.A9,,https://youtu.be/bmT--iOfpOc
24.A17,,https://youtu.be/ofhhD6TU0LM
24.A18,,https://youtu.be/BiiotxRlBz4
24.A19,,https://youtu.be/D2-wmGYbWhA
24.A20,,https://youtu.be/zQX2a69aeV4
24.A21,,https://youtu.be/A2jDiBzDlsA
24.A22,,https://youtu.be/8XB-JHKWarA
23.B8,,https://youtu.be/YuQgw9fWLSs
24.B10,,https://youtu.be/RzhN59dPKsY
24.B14,,https://youtu.be/XFUYOTEVGXc
24.C3,,https://youtu.be/qN6g4h8eX2I
24.C4,,https://youtu.be/a2WjZ2riZvw
24.C5,,https://youtu.be/FcpLd7FVPvc
24.C6,,https://youtu.be/STCDBqGzhuQ
24.C9,,https://youtu.be/32bvXsMniDs
24.C10,,https://youtu.be/ip3BGugY4ls
24.D1,,https://youtu.be/dRxrs83wxdM
24.D2,,https://youtu.be/DLFnA-ElhnA
,,
