Øvelsesnummer,URL på youtube, URL på hjemmeside
13. Baggerslag,https://youtu.be/ak487gBu62A,http://yubio.dk/booklinks.html?id=13__Baggerslag
13. Fingerslag,https://youtu.be/jQtRvln84GQ,http://yubio.dk/booklinks.html?id=13__Fingerslag
13. Smash,https://youtu.be/TJb5yn4Gpz4,http://yubio.dk/booklinks.html?id=13__Smash
13. Underhåndsserv,https://youtu.be/8cBMV-y1REo,http://yubio.dk/booklinks.html?id=13__Underhaandsserv
13. Overhåndsserv,https://youtu.be/sg7pOfbPY5E,http://yubio.dk/booklinks.html?id=13__Overhaandsserv
13. Blokade,https://youtu.be/S8UQ1FvUtiA,http://yubio.dk/booklinks.html?id=13__Blokade
13.A2,https://youtu.be/z94S_kaILDM,http://yubio.dk/booklinks.html?id=13_A2
13.A9,https://youtu.be/x7t4VymVMB4,http://yubio.dk/booklinks.html?id=13_A9
13.B5,https://youtu.be/a14wLc6s96Q,http://yubio.dk/booklinks.html?id=13_B5
13.B6,https://youtu.be/FK2nrinoOoc,http://yubio.dk/booklinks.html?id=13_B6
13.B7,https://youtu.be/M3AXhsl-PBE,http://yubio.dk/booklinks.html?id=13_B7
13.B8,https://youtu.be/oQVW65dwplo,http://yubio.dk/booklinks.html?id=13_B8
13.B9,https://youtu.be/UX4nfjw2q14,http://yubio.dk/booklinks.html?id=13_B9
13.B10,https://youtu.be/borZ2p_0vF4,http://yubio.dk/booklinks.html?id=13_B10
13.B12,https://youtu.be/kD79Jv_NvZA,http://yubio.dk/booklinks.html?id=13_B12
13.B14,https://youtu.be/PkPCH_Pydkc,http://yubio.dk/booklinks.html?id=13_B14
13.B15,https://youtu.be/Bvfv7YLmVDY,http://yubio.dk/booklinks.html?id=13_B15
13.C1,https://youtu.be/mAna47YqZpI,http://yubio.dk/booklinks.html?id=13_C1
13.C3,https://youtu.be/STDyZaj8kHw,http://yubio.dk/booklinks.html?id=13_C3
13.C9,https://youtu.be/4h1B89YjUsg,http://yubio.dk/booklinks.html?id=13_C9
13.C10,https://youtu.be/7RUgHj-qukc,http://yubio.dk/booklinks.html?id=13_C10
13.C11,https://youtu.be/kUXcCTi7UlY,http://yubio.dk/booklinks.html?id=13_C11
13.D1,https://youtu.be/oAd2LH5lX1E,http://yubio.dk/booklinks.html?id=13_D1
13.D5,https://youtu.be/pYZ_iwcJ36o,http://yubio.dk/booklinks.html?id=13_D5
14. Greb,https://youtu.be/jyTpH-9sXgA,http://yubio.dk/booklinks.html?id=14__Greb
14. Aflevering/trækskud,https://youtu.be/u7DQANt_TYc,http://yubio.dk/booklinks.html?id=14__Aflevering/traekskud
14. Dribling,https://youtu.be/VNQvGdwYdss,http://yubio.dk/booklinks.html?id=14__Dribling
14. Håndledsskud,https://youtu.be/T52AMpbQIoI,http://yubio.dk/booklinks.html?id=14__Haandledsskud
14.B2,https://youtu.be/1pQtk6yLic8,http://yubio.dk/booklinks.html?id=14_B2
14.B3,https://youtu.be/iRvs1n-upuM,http://yubio.dk/booklinks.html?id=14_B3
14.B6,https://youtu.be/DCwBuDIiUfc,http://yubio.dk/booklinks.html?id=14_B6
14.B11,https://youtu.be/J6tDNAasMzA,http://yubio.dk/booklinks.html?id=14_B11
14.C6,https://youtu.be/qwZAaZdjfs0,http://yubio.dk/booklinks.html?id=14_C6
14.C7,https://youtu.be/MSJq7V_YmRI,http://yubio.dk/booklinks.html?id=14_C7
14.C9,https://youtu.be/NV7hkryxB-E,http://yubio.dk/booklinks.html?id=14_C9
14.C10,https://youtu.be/6n1Tgjx4BmI,http://yubio.dk/booklinks.html?id=14_C10
14.C11,https://youtu.be/R-WjnxzIOwM,http://yubio.dk/booklinks.html?id=14_C11
14.C12,https://youtu.be/VfPwmy9b-O8,http://yubio.dk/booklinks.html?id=14_C12
14.C13,https://youtu.be/S1ii0sh-9HQ,http://yubio.dk/booklinks.html?id=14_C13
14.D9,https://youtu.be/gIe6My3Jxho,http://yubio.dk/booklinks.html?id=14_D9
15. Greb,https://youtu.be/7xs-f5mAwAo,http://yubio.dk/booklinks.html?id=15__Greb
15. Pivotering,https://youtu.be/7xs-f5mAwAo,http://yubio.dk/booklinks.html?id=15__Pivotering
15. Baghånd,https://youtu.be/xKLCJQ6FoxA,http://yubio.dk/booklinks.html?id=15__Baghaand
15. Forhånd,https://youtu.be/QMPnhCHktug,http://yubio.dk/booklinks.html?id=15__Forhaand
15. Hammerkast,https://youtu.be/eMakbkWhluk,http://yubio.dk/booklinks.html?id=15__Hammerkast
15. Gribe,https://youtu.be/Y0liaKerkUk,http://yubio.dk/booklinks.html?id=15__Gribe
15.A2,https://youtu.be/TIoUxCci8Mc,http://yubio.dk/booklinks.html?id=15_A2
15.A3,https://youtu.be/pAQBuHWeg8U,http://yubio.dk/booklinks.html?id=15_A3
15.A4,https://youtu.be/VJP1kqZkMyM,http://yubio.dk/booklinks.html?id=15_A4
15.A5,https://youtu.be/80ywlmuRgkY,http://yubio.dk/booklinks.html?id=15_A5
15.A9,https://youtu.be/f9Qsb9G8VN0,http://yubio.dk/booklinks.html?id=15_A9
15.B8,https://youtu.be/7xs-f5mAwAo,http://yubio.dk/booklinks.html?id=15_B8
15.B16,https://youtu.be/SpFYXes60rc,http://yubio.dk/booklinks.html?id=15_B16
15.C1,https://youtu.be/sq2rVSt4qNc,http://yubio.dk/booklinks.html?id=15_C1
15.C3,https://youtu.be/c4NLLgnzqVA,http://yubio.dk/booklinks.html?id=15_C3
15.C4,https://youtu.be/uaK0C4Q90q0,http://yubio.dk/booklinks.html?id=15_C4
15.C5,https://youtu.be/9AYWrw-IzM4,http://yubio.dk/booklinks.html?id=15_C5
