Kort intro,https://youtu.be/X-sIpkffZ_0,http://yubio.dk/booklinks.html?id=0
Lang intro,https://youtu.be/sztUCBT3jc8,http://yubio.dk/booklinks.html?id=1
Figur 1.13,https://youtu.be/kRtGn_l18YY,http://yubio.dk/booklinks.html?id=2
11. Tæmninger,https://youtu.be/DmN1n-yoXao,http://yubio.dk/booklinks.html?id=3
11. Indersideafleveringer,https://youtu.be/z1SUUC86OqY,http://yubio.dk/booklinks.html?id=4
11. Halvliggende vristspark,https://youtu.be/O53KROe_jM8,http://yubio.dk/booklinks.html?id=5
11. Finter,https://youtu.be/LiOTyz1dkns,http://yubio.dk/booklinks.html?id=6
11.A3,https://youtu.be/LHYXIvFv_2I,http://yubio.dk/booklinks.html?id=7
11.A7,https://youtu.be/yY7rsSjRz6E,http://yubio.dk/booklinks.html?id=8
11.A9,https://youtu.be/BujqHc4pGdE,http://yubio.dk/booklinks.html?id=9
11.A10,https://youtu.be/9ByMeUUfCbQ,http://yubio.dk/booklinks.html?id=10
11.A11,https://youtu.be/xU89GasCzhw,http://yubio.dk/booklinks.html?id=11
11.A12,https://youtu.be/THVQKtaqiE8,http://yubio.dk/booklinks.html?id=12
11.A13,https://youtu.be/a-eSCdM8Lzg,http://yubio.dk/booklinks.html?id=13
11.A14,https://youtu.be/NJwsUK5MNhQ,http://yubio.dk/booklinks.html?id=14
11.A15,https://youtu.be/Ur9nBDO0o50,http://yubio.dk/booklinks.html?id=15
11.A16,https://youtu.be/eN6Q4wrszog,http://yubio.dk/booklinks.html?id=16
11.A17,https://youtu.be/X5FM1z4XPWM,http://yubio.dk/booklinks.html?id=17
11.B1,https://youtu.be/hVFKEqD8V9w,http://yubio.dk/booklinks.html?id=18
11.B2,https://youtu.be/sjN_hTN6NMI,http://yubio.dk/booklinks.html?id=19
11.B5,https://youtu.be/Bv3oFEdDprI,http://yubio.dk/booklinks.html?id=20
11.B7,https://youtu.be/U85cUCkIDkc,http://yubio.dk/booklinks.html?id=21
11.B8,https://youtu.be/d9xBmAVjRug,http://yubio.dk/booklinks.html?id=22
11.B9,https://youtu.be/oxgRL6Sa5oo,http://yubio.dk/booklinks.html?id=23
11.B11,https://youtu.be/gRMXYA0EoRM,http://yubio.dk/booklinks.html?id=24
11.C4,https://youtu.be/y_ggaxuwzZ4,http://yubio.dk/booklinks.html?id=25
11.C5,https://youtu.be/jU-OMnWX5i8,http://yubio.dk/booklinks.html?id=26
11.C6,https://youtu.be/2-ELleaR6_s,http://yubio.dk/booklinks.html?id=27
11.C7,https://youtu.be/5LvjxyBlU3c,http://yubio.dk/booklinks.html?id=28
11.C12,https://youtu.be/89oms0sWR1A,http://yubio.dk/booklinks.html?id=29
11.D4,https://youtu.be/KVhaJ_eThbU,http://yubio.dk/booklinks.html?id=30
12. Driblinger,https://youtu.be/3H8CknOsiKI,http://yubio.dk/booklinks.html?id=31
12. Afleveringer,https://youtu.be/Fg2cp3bBMNo,http://yubio.dk/booklinks.html?id=32
12. Skud,https://youtu.be/x9DG8OJcpBk,http://yubio.dk/booklinks.html?id=33
12. Lay up,https://youtu.be/lnUmijG3dX0,http://yubio.dk/booklinks.html?id=34
12.A9,https://youtu.be/_koMKTvYEYU,http://yubio.dk/booklinks.html?id=35
12.B2,https://youtu.be/50xBQRNKC3k,http://yubio.dk/booklinks.html?id=36
12.B4,https://youtu.be/DQAYV7xzh4I,http://yubio.dk/booklinks.html?id=37
12.B5,https://youtu.be/xAJ_GDZa5S4,http://yubio.dk/booklinks.html?id=38
12.B10,https://youtu.be/Wb1ai4wwvF0,http://yubio.dk/booklinks.html?id=39
12.C1,https://youtu.be/v0yRbxRyOF0,http://yubio.dk/booklinks.html?id=40
12.C2,https://youtu.be/DDyjj7ZMeWs,http://yubio.dk/booklinks.html?id=41
12.C3,https://youtu.be/quPZpD3BjEk,http://yubio.dk/booklinks.html?id=42
