Interval,Niveau,Distance,Tid,Tidsinterval,Hastighed,Kondital
0,,meter,sek,(sek ml. bip),(km/t),ml ilt/min/kg
143,15-4,2860,894.2,4.80,,62.70
144,15-5,2880,898.8,4.80,,63.00
145,15-6,2900,903.5,4.80,,63.20
146,15-7,2920,908.1,4.80,,63.50
147,15-8,2940,912.8,4.80,,63.80
148,15-9,2960,917.4,4.80,,64.00
149,15-10,2980,922.1,4.80,,64.30
150,15-11,3000,926.7,4.80,,64.60
151,15-12,3020,931.4,4.80,,64.90
152,15-13,3040,936.0,4.80,,65.10
153,16-1,3060,940.6,4.65,15.50,65.40
154,16-2,3080,945.3,4.65,,65.70
155,16-3,3100,949.9,4.65,,66.00
156,16-4,3120,954.6,4.65,,66.20
157,16-5,3140,959.1,4.65,,66.50
158,16-6,3160,963.6,4.65,,66.70
159,16-7,3180,968.1,4.65,,67.00
160,16-8,3200,972.6,4.65,,67.30
161,16-9,3220,977.1,4.65,,67.50
162,16-10,3240,981.6,4.65,,67.80
163,16-11,3260,986.1,4.65,,68.10
164,16-12,3280,990.6,4.65,,68.30
165,16-13,3300,995.1,4.65,,68.60
166,17-1,3320,999.6,4.50,16.00,68.90
167,17-2,3340,1004.1,4.50,,69.10
168,17-3,3360,1008.6,4.50,,69.40
169,17-4,3380,1013.1,4.50,,69.70
170,17-5,3400,1017.6,4.50,,69.90
171,17-6,3420,1022.0,4.50,,70.20
172,17-7,3440,1026.3,4.50,,70.40
173,17-8,3460,1030.7,4.50,,70.70
174,17-9,3480,1035.0,4.50,,70.90
175,17-10,3500,1039.4,4.50,,71.20
176,17-11,3520,1043.8,4.50,,71.50
177,17-12,3540,1048.1,4.50,,71.70
178,17-13,3560,1052.5,4.50,,72.00
179,17-14,3580,1056.8,4.50,,72.20
180,18-1,3600,1061.2,4.36,16.50,72.50
181,18-2,3620,1065.6,4.36,,72.70
182,18-3,3640,1069.9,4.36,,73.00
183,18-4,3660,1074.3,4.36,,73.20
184,18-5,3680,1078.6,4.36,,73.50
185,18-6,3700,1082.9,4.36,,73.70
186,18-7,3720,1087.1,4.36,,74.00
187,18-8,3740,1091.4,4.36,,74.20
188,18-9,3760,1095.6,4.36,,74.50
189,18-10,3780,1099.8,4.36,,74.70
190,18-11,3800,1104.1,4.36,,75.00
191,18-12,3820,1108.3,4.36,,75.20
192,18-13,3840,1112.6,4.36,,75.50
193,18-14,3860,1116.8,4.36,,75.70
194,19-1,3880,1121.0,4.24,17.00,76.00
195,19-2,3900,1125.3,4.24,,76.20
196,19-3,3920,1129.5,4.24,,76.50
197,19-4,3940,1133.8,4.24,,76.70
198,19-5,3960,1138.0,4.24,,77.00
199,19-6,3980,1142.2,4.24,,77.20
200,19-7,4000,1146.4,4.24,,77.40
201,19-8,4020,1150.5,4.24,,77.70
202,19-9,4040,1154.6,4.24,,77.90
203,19-10,4060,1154.6,4.24,,78.20
204,19-11,4080,1154.6,4.24,,78.40
205,19-12,4100,1154.6,4.24,,78.60
206,19-13,4120,1154.6,4.24,,78.90
207,19-14,4140,1154.6,4.24,,79.10
208,19-15,4160,1154.6,4.24,,79.40
209,20-1,4180,1154.6,4.11,17.50,79.60
210,20-3,4200,1154.6,4.11,,79.80
211,20-4,4220,1154.6,4.11,,80.00
