Interval,Niveau,Distance,Tid,Tidsinterval,Hastighed,Kondital,,,,
117,13-4,2340,779.69,5.142857,,55.50,,,,
118,13-5,2360,784.83,5.142857,,55.80,,,,
119,13-6,2380,789.97,5.142857,,56.10,,,,
120,13-7,2400,795.11,5.142857,,56.40,,,,
121,13-8,2420,800.26,5.142857,,56.70,,,,
122,13-9,2440,805.40,5.142857,,57.00,,,,
123,13-10,2460,810.54,5.142857,,57.30,,,,
124,13-11,2480,815.69,5.142857,,57.60,,,,
125,13-12,2500,820.83,5.142857,,57.90,,,,
126,14-1,2520,825.97,4.965517,14.50,58.20,,,,
127,14-2,2540,830.94,4.965517,,58.50,,,,
128,14-3,2560,835.90,4.965517,,58.70,,,,
129,14-4,2580,840.87,4.965517,,59.00,,,,
130,14-5,2600,845.83,4.965517,,59.30,,,,
131,14-6,2620,850.80,4.965517,,59.60,,,,
132,14-7,2640,855.76,4.965517,,59.90,,,,
133,14-8,2660,860.73,4.965517,,60.10,,,,
134,14-9,2680,865.70,4.965517,,60.40,,,,
135,14-10,2700,870.66,4.965517,,60.70,,,,
136,14-11,2720,875.63,4.965517,,61.00,,,,
137,14-12,2740,880.59,4.965517,,61.30,,,,
138,14-13,2760,885.56,4.965517,,61.60,,,,
139,15-1,2780,890.52,4.800000,15.00,61.80,,,,
140,15-2,2800,895.32,4.800000,,62.10,,,,
141,15-3,2820,900.12,4.800000,,62.40,,,,
142,15-4,2840,904.92,4.800000,,62.70,,,,
143,15-5,2860,909.72,4.800000,,63.00,,,,
144,15-6,2880,914.52,4.800000,,63.20,,,,
145,15-7,2900,919.32,4.800000,,63.50,,,,
146,15-8,2920,924.12,4.800000,,63.80,,,,
147,15-9,2940,928.92,4.800000,,64.00,,,,
148,15-10,2960,933.72,4.800000,,64.30,,,,
149,15-11,2980,938.52,4.800000,,64.60,,,,
150,15-12,3000,943.32,4.800000,,64.90,,,,
151,15-13,3020,948.12,4.800000,,65.10,,,,
152,16-1,3040,952.92,4.645161,15.50,65.40,,,,
153,16-2,3060,957.57,4.645161,,65.70,,,,
154,16-3,3080,962.21,4.645161,,66.00,,,,
155,16-4,3100,966.86,4.645161,,66.20,,,,
156,16-5,3120,971.50,4.645161,,66.50,,,,
157,16-6,3140,976.15,4.645161,,66.70,,,,
158,16-7,3160,980.79,4.645161,,67.00,,,,
159,16-8,3180,985.44,4.645161,,67.30,,,,
160,16-9,3200,990.08,4.645161,,67.50,,,,
161,16-10,3220,994.73,4.645161,,67.80,,,,
162,16-11,3240,999.37,4.645161,,68.10,,,,
163,16-12,3260,1004.02,4.645161,,68.30,,,,
164,16-13,3280,1008.66,4.645161,,68.60,,,,
165,17-1,3300,1013.31,4.500000,16.00,68.90,,,,
166,17-2,3320,1017.81,4.500000,,69.10,,,,
167,17-3,3340,1022.31,4.500000,,69.40,,,,
168,17-4,3360,1026.81,4.500000,,69.70,,,,
169,17-5,3380,1031.31,4.500000,,69.90,,,,
170,17-6,3400,1035.81,4.500000,,70.20,,,,
171,17-7,3420,1040.31,4.500000,,70.40,,,,
172,17-8,3440,1044.81,4.500000,,70.70,,,,
173,17-9,3460,1049.31,4.500000,,70.90,,,,
174,17-10,3480,1053.81,4.500000,,71.20,,,,
175,17-11,3500,1058.31,4.500000,,71.50,,,,
176,17-12,3520,1062.81,4.500000,,71.70,,,,
177,17-13,3540,1067.31,4.500000,,72.00,,,,
178,17-14,3560,1071.81,4.500000,,72.20,,,,
179,18-1,3580,1076.31,4.363636,16.50,72.50,,,,
180,18-2,3600,1080.67,4.363636,,72.70,,,,
181,18-3,3620,1085.04,4.363636,,73.00,,,,
182,18-4,3640,1089.40,4.363636,,73.20,,,,
183,18-5,3660,1093.76,4.363636,,73.50,,,,
184,18-6,3680,1098.13,4.363636,,73.70,,,,
185,18-7,3700,1102.49,4.363636,,74.00,,,,
186,18-8,3720,1106.86,4.363636,,74.20,,,,
187,18-9,3740,1111.22,4.363636,,74.50,,,,
188,18-10,3760,1115.58,4.363636,,74.70,,,,
189,18-11,3780,1119.95,4.363636,,75.00,,,,
190,18-12,3800,1124.31,4.363636,,75.20,,,,
191,18-13,3820,1128.67,4.363636,,75.50,,,,
192,18-14,3840,1133.04,4.363636,,75.70,,,,
193,19-1,3860,1137.40,4.235294,17.00,76.00,,,,
194,19-2,3880,1141.64,4.235294,,76.20,,,,
195,19-3,3900,1145.87,4.235294,,76.50,,,,
196,19-4,3920,1150.11,4.235294,,76.70,,,,
197,19-5,3940,1154.34,4.235294,,77.00,,,,
198,19-6,3960,1158.58,4.235294,,77.20,,,,
199,19-7,3980,1162.81,4.235294,,77.40,,,,
200,19-8,4000,1167.05,4.235294,,77.70,,,,
201,19-9,4020,1171.28,4.235294,,77.90,,,,
202,19-10,4040,1175.52,4.235294,,78.20,,,,
203,19-11,4060,1179.75,4.235294,,78.40,,,,
204,19-12,4080,1183.99,4.235294,,78.60,,,,
205,19-13,4100,1188.22,4.235294,,78.90,,,,
206,19-14,4120,1192.46,4.235294,,79.10,,,,
207,19-15,4140,1196.70,4.235294,,79.40,,,,
208,20-1,4160,1200.93,4.114286,17.50,79.60,,,,
209,20-3,4180,1205.04,4.114286,,79.80,,,,
